ヒマラヤ山脈からインドへ流れる川を何という？,1,ガンジス川,ナイル川,アマゾン川,長江
地球上で最も高い山であるエベレストがある山脈を何という？,2,ロッキー山脈,ヒマラヤ山脈,アンデス山脈,アルプス山脈
降水量の多い雨季と降水量の少ない乾季に区別され低い木が広がる気候を何という？,3,熱帯雨林気候,温暖湿潤気候,サバナ気候,地中海性気候
欧米諸国が植民地支配時に輸出用の作物を栽培する為に開いた大規模な農園を何という？,4,レアメタル,オアシス,シリコンバレー,プランテーション
中国南部の沿岸沿いにつくられた外国の資本や技術の導入が認められている地帯を何という？,1,経済特区,シリコンバレー,太平洋ベルト,リアス海岸
中国で行われた一組の夫婦につき一人の子供までと定めた政策を何という？,2,シングル政策,一人っ子政策,一点集中政策,少子高齢化対策
人間の活動や過度な耕作、放牧をし土地が劣化する現象を何という？,3,地球温暖化,酸性雨,砂漠化,大気汚染
世界一の長さを誇る河川を何という？,4,アマゾン川,ガンジス川,長江,ナイル川
オリーブやぶどうの栽培が盛んで夏は乾燥し冬に雨が多くみられる気候を何という？,1,地中海性気候,サバナ気候,熱帯雨林気候,温暖湿潤気候
特定の農産物や鉱産物に依存している経済を何という？,2,経済特区,モノカルチャー経済,フィヨルド,オアシス
メキシコ湾から延長しヨーロッパ西部まで流れる暖流を何という？,3,北太平洋海流,南太平洋海流,北大西洋海流,南大西洋海流
中緯度付近の上空を西から東へ常時吹いている風を何という？,4,季節風,台風,貿易風,偏西風
穀物の栽培と家畜の飼育を組み合わせた農法を何という？,1,混合農業,地中海式農業,二毛作,促成栽培
夏はオリーブやブドウなどを栽培し冬に小麦などの穀物を栽培する農業を何という？,2,混合農業,地中海式農業,二毛作,促成栽培
ヨーロッパ州に存在する政治的、経済的な共同組織を何という？,3,ASEAN,TPP,EU,OPEC
北アメリカ大陸の西部に連なる山脈を何という？,4,アンデス山脈,ヒマラヤ山脈,アルプス山脈,ロッキー山脈
スペイン語を話す中南米の人々を何という？,1,ヒスパニック,アイヌ民族,インディアン,アボリジニー
サンフランシスコ郊外にある情報通信産業が集中する地帯を何という？,2,経済特区,シリコンバレー,太平洋ベルト,エコタウン
南アメリカ大陸の西部に連なる山脈を何という？,3,ヒマラヤ山脈,ロッキー山脈,アンデス山脈,アルプス山脈
流域面積が世界最大の河川を何という？,4,ナイル川,ガンジス川,長江,アマゾン川
森林や草原を焼き払い、その灰を肥料として農産物を栽培する農法を何という？,1,焼畑農業,混合農業,地中海式農業,二毛作
さまざまな文化を持つ民族がお互いの多様性を尊重し共存する社会を何という？,2,混合社会,多文化社会,他責志向社会,バイオ社会
国や地域の基準となる経線を何という？,3,日付変更線,本初子午線,標準時子午線,赤道
六大陸の中で最も大きな大陸を何という？,4,アフリカ大陸,南アメリカ大陸,北アメリカ大陸,ユーラシア大陸
六大陸の中で2番目に大きな大陸を何という？,1,アフリカ大陸,ユーラシア大陸,南アメリカ大陸,北アメリカ大陸
世界三大洋の中で最も大きな海域を何という？,2,大西洋,太平洋,インド洋,アフリカ洋
0度の緯線を何という？,3,本初子午線,日付変更線,赤道,標準時子午線
川が山地から平地に流れ出た所に土砂を堆積してつくられた扇形の緩やかな傾斜地を何という？,4,三角州,リアス海岸,砂浜海岸,扇状地
移動しながら牧畜をして暮らしている人々を何という？,1,遊牧民,インディアン,ヒスパニック,アボリジニー
冬の寒さが厳しい冷帯に広がるカラマツなどの森林を何という？,2,熱帯雨林,針葉樹林,マングローブ林,竹林
コーランの教えの元、豚肉や酒を口にしない宗教団体を何という？,3,ヒンドゥー教,キリスト教,イスラム教,仏教
インドで広く信仰されている宗教を何という？,4,イスラム教,仏教,キリスト教,ヒンドゥー教
世界最大の信仰者を誇る宗教を何という？,1,キリスト教,イスラム教,ヒンドゥー教,仏教
海洋面積の割合は地球上の面積の何割をしめる？,3,約5割,約6割,約７割,約8割
アジアで最も長い河川を何という？,4,黄河,信濃川,ガンジス川,長江
世界最大の面積を誇る砂漠を何という？,1,サハラ砂漠,鳥取砂丘,アラビア砂漠,ゴビ砂漠
アメリカ、カナダ、メキシコが貿易の自由化を目指し結んだ協定を何という？,2,ASEAN,NAFTA,TPP,UNESCO
経済成長がいちじるしい５カ国をBRICSというが、次のうち当てはまらない国はどれ？,3,ロシア,インド,ベトナム,南アフリカ共和国
東南アジア10ヵ国からなるASEANに加盟していない国はどれ？,4,シンガポール,タイ,フィリピン,台湾
世界最大級の高原を何という？,1,チベット高原,秋吉台,モンゴル高原,サハラ高原
