1858年に結ばれた領事裁判権を認め関税自主権の日本側の不利な条約を何という？,1,日米修好通商条約,日米和親条約,ワシントン条約,日米安全保障条約
江戸幕府の15代将軍が政権を朝廷に返上したことを何という？,2,王政復古の大号令,大政奉還,富国強兵,天保の改革
18世紀半ばから19世紀にかけイギリスを中心とした石炭を利用したエネルギー革命を何という？,3,石炭革命,二期作,産業革命,ロンドン革命
豊臣秀吉亡き後、徳川家康率いる東軍と石田三成率いる西軍のもと全国の有名な大名が参戦した戦乱を何という？,4,長篠の戦い,本能寺の変,山崎の戦い,関ヶ原の戦い
江戸幕府を開いた人物は誰でしょうか？,1,徳川家康,石田三成,豊臣秀吉,織田信長
江戸時代に江戸と自国の領地を1年交代で住まわせ他の大名に財力を付けさせないようにした政策を何という？,2,踏絵,参勤交代,太閤検地,鎖国
16世紀末から17世紀初頭にかけて日本の統治者の海外渡航許可をもらい東南アジアの国々と行われた貿易を何という？,3,南蛮貿易,三角貿易,朱印船貿易,大東貿易
江戸時代初期に日本と朝鮮の国交が回復した際、朝鮮から送られてきた外交使節団を何という？,4,朝鮮総督府,遣唐使,岩倉使節団,朝鮮通信使
江戸幕府に起きたキリシタン弾圧に対する反乱を何という？,1,島原・天草一揆,百姓一揆,元禄一揆,山城国一揆
松平定信が行った幕府の政治改革を何という？,2,享保の改革,寛政の改革,天保の改革,鎖国
1825年に江戸幕府が日本の沿岸に近づく外国船に対し無差別に砲撃を加え撃退するよう命じたことを何という？,3,尊王攘夷,徴兵令,異国船打払令,徳政令
日本全国を測量し日本地図を初めて完成させた人物は誰でしょうか？,4,井伊直弼,杉田玄白,千利休,伊能忠敬
1789何から1795にかけて起きた民主主義革命を何という？,1,フランス革命,ロシア革命,産業革命,キューバ革命
1840年頃に清とイギリスとの間で勃発した戦争何という？,2,100年戦争,アヘン戦争,冷戦,湾岸戦争
1860年頃にアメリカで南北戦争に勝利し奴隷解放宣言を行った大統領は誰でしょうか？,3,ブッシュ大統領,ルーズベルト大統領,リンカーン大統領,ワシントン大統領
安土桃山時代にかけて大名が城下町を繁栄させる為に行った経済政策を何という？,4,太閤検地,刀狩,参勤交代,楽市楽座
1575年に織田信長、徳川家康連合軍と武田勝頼との間で勃発した合戦を何という？,1,長篠の戦い,関ヶ原の戦,平治の乱,本能寺の変
豊臣秀吉が行った全国の土地ごとの生産量を把握して効率よく年貢を取ろうとした政策を何という？,2,刀狩,太閤検地,農地改革,二毛作
1338年に征夷大将軍に任命され京都に開いた幕府を何という？,3,鎌倉幕府,江戸幕府,室町幕府,京幕府
鎌倉時代と室町時代に挟まれた時期を何という？,4,新時代,戦国時代,中世時代,南北朝時代
応仁の乱以降、役100年間にわたり戦乱が頻発した時期を何という？,3,南北朝時代,鎌倉時代,戦国時代,江戸時代
1467年に約11年間京都で起きた戦乱を何という？,4,平治の乱,長篠の戦い,関ヶ原の戦い,応仁の乱
足利義政が京都の東山に建てた別荘何という？,1,銀閣,金閣寺,平等院鳳凰堂,清水寺
1549年に日本にキリスト教を伝えに来た人物は誰でしょうか？,2,コロンブス,ザビエル,ペリー,マゼラン
ポルトガル人やスペイン人から鉄砲や生糸を輸入しその対価に金や銀を輸出していた貿易を何という？,3,朱印船貿易,ブロック経済,南蛮貿易,日欧貿易
江戸時代に物流、商業の中心地だった大阪は何と呼ばれた？,4,江戸の台所,天下の倉庫,江戸の倉庫,天下の台所
菱川師宣が始めた町人たちの風俗などを題材にした絵画様式を何という？,1,浮世絵,水墨画,古今和歌集,書院造
18世紀半ば株仲間により幕府の財政を立て直そうとした人物は誰でしょうか？,2,徳川吉宗,田沼意次,松平定信,徳川綱吉
支配者に対し農民が団結し反発することを何という？,3,富国強兵,太閤検地,百姓一揆,農地改革
解体新書を翻訳し出版した人物は誰でしょうか？,4,伊能忠敬,歌川広重,葛飾北斎,杉田玄白
江戸時代後半に江戸を中心に町人の間で発展した文化を何という？,1,化政文化,元禄文化,江戸文化,大西文化
江戸時代に普及した庶民の子供たちに読み、書き、計算法などを教えた教育機関を何という？,2,青空教室,寺子屋,海軍塾,御家人
江戸時代後半にききんに苦しむ庶民の為に大阪で乱を起こした人物は誰でしょうか？,3,松平定信,田沼意次,大塩平八郎,井伊直弼
1841年に天保の改革を行った人物は誰でしょうか？,4,松平定信,田沼意次,徳川吉宗,水野忠邦
享保の改革で庶民の不満や要求を聞き入れ政治に反映させる為に設置したものを何という？,2,奈良の大仏,目安箱,普通選挙,金剛力士像
1854年に江戸幕府とアメリカの間で結ばれた条約を何という？,3,下関条約,日米修好通商条約,日米和親条約,ワシントン条約
金閣寺を建てた人物は誰でしょうか？,4,足利尊氏,源頼朝,源義経,足利義満
勝海舟のもとで航海術を学んだり薩長同盟を成立させたりと江戸時代末期に活躍した人物は誰でしょうか？,1,坂本龍馬,ジョン万次郎,高杉晋作,伊能忠敬
1860年に桜田門外で暗殺された人物は誰でしょう？,2,坂本龍馬,井伊直弼,伊藤博文,犬養毅
江戸時代末期に京都で治安維持をつとめていた組織を何という？,1,新撰組,海軍塾,寺子屋,警察予備隊
