1159年の平治の乱で源頼朝を破り勢力を拡大した人物は誰でしょうか？,1,平清盛,源義経,平将門,天智天皇
地位を譲った天皇が上皇となった後も実権を握り政治を行ったこと何という？,2,御恩,院政,奉公,執権
鎌倉幕府が朝廷を監視する為に京都に置いた役職を何という？,3,守護,御家人,六波羅探題,防人
元の軍勢が2度に渡り日本に進軍してきたことを何という？,4,文永の時,平家物語,道元,元寇
1297年に貧困化した御家人たちを救済する為に鎌倉幕府が出した法令を何という？,1,徳政令,大化の改新,徴兵令,分国法
鎌倉幕府を滅ぼし建武の新政を進めた天皇は誰でしょうか？,2,後鳥羽上皇,後醍醐天皇,推古天皇,天智天皇
後醍醐天皇の推進する建武の新政に不満を抱いた武士を集い兵を挙げた人物は誰でしょうか？,3,足利義満,足利義政,足利尊氏,足利義昭
大陸沿岸で船を襲う等の海賊行為をした集団を何という？,1,倭寇,元,町衆,アイヌ民族
593年に推古天皇の摂政になった人物は誰でしょうか？,3,小野妹子,中臣鎌足,聖徳太子,天武天皇
聖徳太子によって作られた日本初の憲法を何という？,4,日本国憲法,大日本帝国憲法,ワイマール憲法,十七条の憲法
壬申の乱後に即位した天皇は誰でしょうか？,1,天武天皇,聖武天皇,桓武天皇,中臣鎌足
班田収授法により与えられた土地を何という？,2,太閤検地,口分田,小作農,守護
743年に自分で新しく開墾した耕地の私有化を認めた法令を何という？,3,武家諸法度,太閤検地,墾田永年私財法,御成敗式目
紀元前3500年頃にチグリス川とユーフラテス川に挟まれた地域に生まれた文明を何という？,4,エジプト文明,インダス文明,中国文明,メソポタミア文明
紀元前3000年頃にナイル川流域で生まれた文明を何という？,1,エジプト文明,メソポタミア文明,中国文明,インダス文明
古代の中国と西洋を結んだ交易路を何という？,2,マゼラン海峡,シルクロード,南蛮貿易,ポーク海峡
邪馬台国の女王は誰でしょうか？,3,小野妹子,クレオパトラ,卑弥呼,楊貴妃
古代に中国や朝鮮から日本に移住してきた人たちは誰でしょうか？,4,サピエンスホモ,遣唐使,遣隋使,渡来人
4世紀頃有力な豪族によって作られた連合政権を何という？,1,大和政権,藤和政権,平氏政権,鎌倉幕府
ヤマト政権の首長は誰でしょうか？,2,中臣鎌足,大王,平清盛,始皇帝
大和朝廷が隋に派遣した使節を何という？,3,遣唐使,渡来人,遣隋使,蘇我氏
2度、遣隋使となり派遣された人物は誰でしょうか？,4,卑弥呼,大王,始皇帝,小野妹子
蘇我氏を壊滅させ中大兄皇子と共に大化の改新を行った人物は誰でしょうか？,1,中臣鎌足,平清盛,推古天皇,源頼朝
710年に建造された都城を何という？,2,平安京,平城京,金閣寺,銀閣寺
戸籍に登録された6歳上の人達に土地を与えその人が亡くなると国に返す制度を何という？,3,墾田永年私財法,太閤検地,班田収授法,農地改革
奈良時時代末期にまとめられたとされる日本最古の和歌集を何という？,3,枕草子,古今和歌集,万葉集,日本書紀
奈良時代から平安時代にかけ中国に派遣された使節を何という？,1,遣唐使,遣隋使,岩倉使節団,渡来人
仏教の教えにより国を守ろうと考え、東大寺を建設した人物は誰でしょうか？,2,桓武天皇,聖武天皇,中臣鎌足,天武天皇
紀貫之らが天皇の命令によりつくった初めての和歌集を何という？,3,枕草子,新古今和歌集,古今和歌集,日本書紀
紀元前1世紀ごろにイタリア半島に誕生しその後、地中海一帯を支配した国を何という？,4,大英帝国,琉球王国,唐,ローマ帝国
佐賀県に存在する弥生時代の大規模な集落跡を何という？,1,吉野ヶ里遺跡,前方後円墳,万里の長城,貝塚
日本初の女性天皇は誰でしょうか？,2,卑弥呼,推古天皇,天智天皇,小野妹子
中大兄皇子や中臣鎌足らに滅ぼされた人達を何という？,3,御家人,平氏,蘇我氏,武士
1156に上皇と天皇との間で起きた権力闘争を何という？,4,承久の乱,文永の役,白村江の戦い,保元の乱
鎌倉幕府を立ち上げた人物は誰でしょうか？,1,源頼朝,平清盛,足利尊氏,平将門
1232年に武士を公正に取り締まるために制定された法律を何という？,2,徳政令,御成敗式目,墾田永年私財法,武家諸法度
同じ土地で年2回違う作物を栽培する農法を何という？,3,二期作,口分田,二毛作,荘園
鎌倉時代に造られた東大寺南大門に置いてある彫刻作品を何という？,4,土器,前方後円墳,盧舎那仏坐像,金剛力士像
元に服属を要求されたがそれを断った人物は誰でしょうか？,1,北条時宗,後醍醐天皇,足利義政,源頼朝
11世紀後期に聖地を奪還する為に十字軍を遠征させたカトリック教会の首長は誰？,1,ローマ教皇,アッラー,始皇帝,イエス・キリスト
